0,825,25
1,827,43
2,830,60
3,832,77
4,835,97
5,837,122
6,837,142
7,840,167
8,840,189
9,837,216
10,842,242
11,840,269
12,840,296
13,838,323
14,837,346
15,807,224
16,790,154
17,773,100
18,761,56
19,753,26
20,748,10
39,710,3
40,710,10
41,710,16
42,710,28
43,710,36
44,708,46
45,710,60
46,710,70
47,708,82
48,708,95
49,708,105
50,713,118
51,723,130
52,725,143
53,727,152
54,731,164
55,734,177
56,739,183
57,740,195
58,740,210
59,745,221
60,746,237
61,752,254
62,752,268
63,752,283
64,752,298
65,754,315
66,752,335
67,758,356
68,758,370
72,758,327
73,761,309
74,765,292
75,763,274
76,765,263
77,766,254
78,766,247
79,765,244
80,765,234
81,766,234
82,765,231
83,763,231
84,766,226
85,768,229
86,768,229
87,710,197
88,711,200
89,708,202
90,708,200
91,711,202
92,710,204
93,710,207
94,713,216
95,713,217
96,706,224
97,711,234
98,706,237
100,709,263
102,734,159
103,750,99
104,760,44
142,909,16
143,909,48
144,907,78
145,907,107
146,907,140
147,904,170
148,902,200
149,902,231
150,900,267
463,641,219
464,629,127
465,616,53
509,548,6
510,549,20
511,549,36
512,549,50
513,551,63
514,549,80
515,551,97
516,564,95
517,591,83
518,616,70
519,634,63
520,653,60
521,670,50
522,683,46
523,701,48
524,713,43
525,728,50
526,740,53
527,751,53
528,763,60
529,770,65
530,782,77
531,790,80
532,805,97
533,812,108
534,823,120
535,827,137
536,835,152
537,842,162
538,848,190
539,853,210
540,860,231
541,867,251
542,873,274
543,873,298
544,878,319
545,883,343
546,858,306
547,840,277
548,830,252
551,805,224
552,800,221
553,797,221
554,793,217
555,792,217
556,788,217
557,783,224
558,780,222
559,780,226
560,777,234
561,782,234
562,785,231
563,790,221
564,793,209
565,798,209
566,805,202
567,805,202
568,812,199
569,817,200
570,815,204
571,820,205
572,820,205
573,827,212
574,825,214
575,832,226
576,832,229
577,833,239
578,837,249
579,837,262
580,842,277
581,843,293
582,840,304
583,843,318
584,840,338
585,845,351
586,822,334
587,783,281
588,755,241
589,725,212
591,683,172
592,665,155
593,651,144
594,638,132
595,629,122
596,614,117
597,608,113
598,603,110
599,596,108
600,589,107
601,583,103
602,576,108
603,573,110
604,568,117
605,563,115
606,561,125
607,556,128
608,551,133
609,549,138
610,546,147
611,566,154
612,586,150
613,608,157
614,623,157
615,638,157
616,653,164
617,670,170
618,678,174
619,691,184
620,705,185
621,716,197
622,728,204
623,736,212
624,745,224
625,758,236
626,761,251
627,770,264
628,777,274
629,785,289
630,790,308
631,797,324
632,803,338
633,810,356
634,815,373
635,818,393
636,822,411
637,827,425
638,830,418
639,832,415
640,833,415
641,832,413
642,837,416
643,837,415
644,837,418
645,840,420
646,843,428
647,843,425
648,843,423
649,842,425
650,843,423
651,843,426
652,847,423
653,850,425
654,850,425
655,855,426
656,855,425
657,852,425
658,855,428
667,857,425
668,855,425
671,843,433
672,850,430
673,850,432
674,852,430
675,853,433
676,852,432
677,852,430
