0,622,230
1,623,237
2,623,246
3,620,252
4,620,262
5,616,235
6,614,155
7,609,73
8,603,12
55,518,96
56,518,126
57,519,158
58,519,192
59,519,223
60,517,251
61,519,283
62,519,312
63,518,339
64,512,302
65,508,262
66,503,239
67,502,226
68,500,215
69,502,208
70,500,197
71,499,198
72,499,197
73,497,197
74,500,195
75,497,200
76,499,201
77,499,204
78,500,208
79,500,211
80,495,216
81,483,212
82,474,215
83,467,216
84,458,221
85,449,223
86,443,232
87,435,239
88,428,246
89,424,256
90,417,267
91,411,278
92,405,289
93,401,296
94,396,318
95,396,314
96,404,291
97,412,267
98,424,246
99,429,235
100,435,224
101,441,216
102,448,211
103,452,205
104,457,199
105,460,200
106,465,199
107,469,200
108,471,202
109,476,205
110,479,211
111,482,216
112,484,221
113,487,229
114,487,236
115,488,241
116,495,255
117,504,255
118,526,249
119,543,238
120,559,232
121,576,227
122,598,224
123,609,218
124,623,218
125,639,219
126,656,219
127,668,217
128,676,219
129,690,224
130,703,232
131,713,237
132,725,244
133,736,257
134,723,385
135,756,277
136,763,289
137,772,299
138,782,309
139,790,329
140,798,344
141,800,358
142,793,311
143,790,271
144,780,231
145,775,189
146,765,160
147,763,142
148,756,118
149,755,102
150,750,85
151,745,70
152,743,63
153,740,56
154,738,48
155,736,45
156,733,40
157,731,38
158,730,36
159,728,35
160,725,38
161,723,40
162,723,41
163,721,46
164,721,50
165,718,56
166,716,61
167,716,70
168,716,78
169,715,85
170,715,93
171,713,120
172,671,123
173,655,135
174,634,145
175,613,155
176,596,167
177,579,177
178,568,189
179,549,202
180,539,216
181,523,229
182,509,242
183,496,257
184,486,276
185,471,289
186,462,309
188,449,343
189,434,358
190,427,375
191,417,396
192,409,413
193,407,425
194,402,420
195,401,418
196,394,416
197,396,416
198,396,416
199,391,421
200,389,425
201,391,428
202,389,438
203,387,437
204,384,437
205,384,437
206,382,435
207,382,438
208,379,438
209,611,216
210,380,438
211,380,438
212,379,438
213,382,437
214,380,437
219,380,438
220,379,435
221,379,438
222,380,438
