0,696,183,682,377
1,694,182,680,380
2,694,182,680,387
3,695,179,679,393
4,693,179,682,402
5,695,180,681,407
6,693,179
7,693,176
8,691,180
9,687,183
10,686,183
11,681,179,581,291
12,682,181,576,286
13,679,178,576,286
14,677,175,589,294
15,677,170,604,302
16,675,167,610,310
17,675,163,617,311
18,675,161,614,306
19,675,159,613,309
20,675,158,613,310
21,676,160,602,299
22,677,163,597,296
23,679,166,594,291
24,681,169,594,291
25,680,171,601,295
26,677,170,618,307
27,675,171
28,674,169
29,674,166,667,367
30,678,157,677,387
31,683,156,688,404
32,687,148,689,414
33,691,145,690,422
34,694,141,686,431
35,699,136,683,434
36,703,136,678,436
37,704,134,680,439
38,708,132,676,442
39,712,133,676,439
40,716,137,676,438
41,718,138,676,435
42,718,137,675,430
43,722,140,672,426
44,724,136,669,424
45,725,134,669,425
46,726,131,668,424
47,727,129,671,420
48,728,130,668,418
49,729,130,668,418
50,730,131,669,419
51,732,134,668,418
52,731,136,670,423
53,731,140,671,426
54,732,143,671,431
55,736,145,674,434
56,742,153,676,438
57,746,160,677,437
58,679,435
59,679,431
60,685,434
61,709,147,684,433
62,711,116,687,436
63,703,121,692,443
64,704,169,689,444
65,693,452
66,695,461
67,706,476
68,733,217,713,490
69,730,218,712,499
70,731,216,708,503
71,729,216
72,722,216
73,712,212,674,491
74,712,215,667,491
75,708,220,669,491
76,700,227,672,485
77,700,230,674,473
78,676,455
79,678,232,657,444
80,673,231
81,669,228
82,669,226
83,672,229
84,661,229
86,625,232,569,343
88,569,360
89,619,228,573,382
90,621,231,564,437
91,621,233,569,459
92,619,232
93,605,240
94,605,238
95,608,239,525,521
96,610,234,530,527
97,610,221,537,524
98,613,210,544,521
99,627,207,551,522
100,637,178,554,517
101,658,173,563,519
102,671,172,570,516
106,654,164,635,477
107,679,136,642,473
108,683,139,656,468
109,693,135,664,469
110,705,163,675,472
111,717,169,679,475
112,725,177,690,477
113,729,178,697,486
114,728,189,705,494
115,723,197,716,497
116,723,207,720,493
117,721,219,725,492
118,715,232,723,488
119,713,239,730,478
120,710,237,731,477
121,710,244,736,478
122,703,231,741,482
123,750,485
124,683,227,756,492
125,684,222,775,496
126,688,224,778,492
127,683,227,789,492
128,683,230,812,474
129,683,226,823,469
130,685,225,831,446
131,685,227,827,430
132,679,231,821,412
133,679,229,807,402
134,679,225,807,398
135,680,231,797,397
136,675,237,783,437
137,678,231,797,439
138,683,241,800,442
139,679,229
140,673,231,881,359
141,675,231,887,352
142,673,232,864,375
144,664,236,800,501
145,663,241,794,517
146,666,232,796,528
147,789,538
148,638,245,787,551
149,632,231,787,561
150,636,224,787,565
151,638,206,787,561
152,657,192,787,558
153,670,174,798,551
154,688,174
155,714,176
159,787,512
160,721,140,785,512
161,744,124,780,513
162,748,145,775,512
163,769,517
164,759,190,762,513
165,757,202,760,512
166,752,211,759,513
168,764,449
169,768,428
170,764,227,771,416
171,760,222,775,403
172,766,224,778,407
173,764,225,780,400
174,760,224,787,401
175,755,222,782,416
176,757,222,784,414
177,744,222,794,414
178,744,222
179,734,227,821,396
180,728,222,810,410
181,723,217,820,401
183,713,231,827,398
184,705,227,837,411
185,705,239,837,411
186,690,249,835,411
187,678,241,832,405
197,827,442
198,820,448
199,817,447
200,805,452
201,802,455
202,748,257,790,447
203,741,259,790,443
204,743,259,792,443
205,741,264,790,442
206,736,262,790,438
207,733,271,788,433
208,733,286,783,425
209,721,271,783,423
210,728,274,785,420
211,723,271,783,418
212,721,274,783,413
213,720,276,783,415
214,725,276,783,410
215,723,279,783,408
216,731,279
217,733,282,780,405
218,736,284,783,410
219,738,288,782,408
220,743,294,785,408
221,743,296,787,405
222,748,301,787,406
223,748,303,790,406
224,750,299,790,405
225,755,304,790,405
226,756,299,790,401
227,756,304,788,400
228,758,303,787,400
